SNO,NAME OF COMPANY,SYMBOL
1121,PNC Infratech Limited,PNCINFRA
1122,Poddar Housing and Development Limited,PODDARHOUS
1123,Poddar Pigments Limited,PODDARMENT
1124,Pokarna Limited,POKARNA
1125,Polycab India Limited,POLYCAB
1126,Poly Medicure Limited,POLYMED
1127,Polyplex Corporation Limited,POLYPLEX
1128,Ponni Sugars (Erode) Limited,PONNIERODE
1129,Power Grid Corporation of India Limited,POWERGRID
1130,Power Mech Projects Limited,POWERMECH
1131,PPAP Automotive Limited,PPAP
1132,Prakash Pipes Limited,PPL
1133,Prabhat Dairy Limited,PRABHAT
1134,Pradip Overseas Limited,PRADIP
1135,Prajay Engineers Syndicate Limited,PRAENG
1136,Praj Industries Limited,PRAJIND
1137,Prakash Industries Limited,PRAKASH
1138,Prakash Steelage Limited,PRAKASHSTL
1139,Praxis Home Retail Limited,PRAXIS
1140,Precision Camshafts Limited,PRECAM
1141,Precot Meridian Limited,PRECOT
1142,Precision Wires India Limited,PRECWIRE
1143,Premier Explosives Limited,PREMEXPLN
1144,Premier Limited,PREMIER
1145,Premier Polyfilm Limited,PREMIERPOL
1146,Pressman Advertising Limited,PRESSMN
1147,Prestige Estates Projects Limited,PRESTIGE
1148,Pricol Limited,PRICOLLTD
1149,Prime Securities Limited,PRIMESECU
1150,Proseed India Limited,PROSEED
1151,Provogue (India) Limited,PROVOGE
1152,Prozone Intu Properties Limited,PROZONINTU
1153,Prism Johnson Limited,PRSMJOHNSN
1154,Punjab & Sind Bank,PSB
1155,PSL Limited,PSL
1156,PSP Projects Limited,PSPPROJECT
1157,PTC India Limited,PTC
1158,PTL Enterprises Limited,PTL
1159,Punjab Chemicals & Crop Protection Limited,PUNJABCHEM
1160,Punj Lloyd Limited,PUNJLLOYD
1161,Puravankara Limited,PURVA
1162,PVR Limited,PVR
1163,Quess Corp Limited,QUESS
1164,Quick Heal Technologies Limited,QUICKHEAL
1165,Radaan Mediaworks India Limited,RADAAN
1166,Radico Khaitan Limited,RADICO
1167,Music Broadcast Limited,RADIOCITY
1168,Rain Industries Limited,RAIN
1169,Rajesh Exports Limited,RAJESHEXPO
1170,Raj Rayon Industries Limited,RAJRAYON
1171,Rajshree Sugars & Chemicals Limited,RAJSREESUG
1172,Raj Television Network Limited,RAJTV
1173,Rajvir Industries Limited,RAJVIR
1174,Rallis India Limited,RALLIS
1175,Shree Rama Newsprint Limited,RAMANEWS
1176,Rama Steel Tubes Limited,RAMASTEEL
1177,The Ramco Cements Limited,RAMCOCEM
1178,Ramco Industries Limited,RAMCOIND
1179,Ramco Systems Limited,RAMCOSYS
1180,Ramky Infrastructure Limited,RAMKY
1181,Ramsarup Industries Limited,RAMSARUP
1182,Rana Sugars Limited,RANASUG
1183,Rane Engine Valve Limited,RANEENGINE
1184,Rane Holdings Limited,RANEHOLDIN
1185,Ratnamani Metals & Tubes Limited,RATNAMANI
1186,Raymond Limited,RAYMOND
1187,Rane Brake Lining Limited,RBL
1188,RBL Bank Limited,RBLBANK
1189,Rashtriya Chemicals and Fertilizers Limited,RCF
1190,Reliance Communications Limited,RCOM
1191,REC Limited,RECLTD
1192,Redington (India) Limited,REDINGTON
1193,Refex Industries Limited,REFEX
1194,Regency Ceramics Limited,REGENCERAM
1195,Relaxo Footwears Limited,RELAXO
1196,Reliance Capital Limited,RELCAPITAL
1197,Reliance Industries Limited,RELIANCE
1198,Religare Enterprises Limited,RELIGARE
1199,Reliance Infrastructure Limited,RELINFRA
1200,Remsons Industries Limited,REMSONSIND
1201,Shree Renuka Sugars Limited,RENUKA
1202,Repco Home Finance Limited,REPCOHOME
1203,Repro India Limited,REPRO
1204,Responsive Industries Limited,RESPONIND
1205,Revathi Equipment Limited,REVATHI
1206,Renaissance Global Limited,RGL
1207,Reliance Home Finance Limited,RHFL
1208,Rico Auto Industries Limited,RICOAUTO
1209,Reliance Industrial Infrastructure Limited,RIIL
1210,RITES Limited,RITES
1211,Ravi Kumar Distilleries Limited,RKDL
1212,Ramkrishna Forgings Limited,RKFORGE
1213,Radha Madhav Corporation Limited,RMCL
1214,Rane (Madras) Limited,RML
1215,Reliance Nippon Life Asset Management Limited,RNAM
1216,Reliance Naval and Engineering Limited,RNAVAL
1217,Rohit Ferro-Tech Limited,ROHITFERRO
1218,Royal Orchid Hotels Limited,ROHLTD
1219,Rollatainers Limited,ROLLT
1220,Rolta India Limited,ROLTA
1221,Rossell India Limited,ROSSELLIND
1222,RPG Life Sciences Limited,RPGLIFE
1223,Reliance Power Limited,RPOWER
1224,R.P.P. Infra Projects Limited,RPPINFRA
1225,R. S. Software (India) Limited,RSSOFTWARE
1226,RSWM Limited,RSWM
1227,R Systems International Limited,RSYSTEMS
1228,RattanIndia Infrastructure Limited,RTNINFRA
1229,RattanIndia Power Limited,RTNPOWER
1230,The Ruby Mills Limited,RUBYMILLS
1231,Ruchi Infrastructure Limited,RUCHINFRA
1232,Ruchira Papers Limited,RUCHIRA
1233,Ruchi Soya Industries Limited,RUCHISOYA
1234,Rupa & Company Limited,RUPA
1235,Rushil Decor Limited,RUSHIL
1236,Rail Vikas Nigam Limited,RVNL
1237,Sab Events & Governance Now Media Limited,SABEVENTS
1238,Sri Adhikari Brothers Television Network Limited,SABTN
1239,Sadbhav Engineering Limited,SADBHAV
1240,Sadbhav Infrastructure Project Limited,SADBHIN
1241,Safari Industries (India) Limited,SAFARI
1242,Sagardeep Alloys Limited,SAGARDEEP
1243,Sagar Cements Limited,SAGCEM
1244,Steel Authority of India Limited,SAIL
1245,Sakar Healthcare Limited,SAKAR
1246,Sakthi Sugars Limited,SAKHTISUG
1247,Saksoft Limited,SAKSOFT
1248,Sakuma Exports Limited,SAKUMA
1249,Salasar Techno Engineering Limited,SALASAR
1250,Salona Cotspin Limited,SALONA
1251,S.A.L. Steel Limited,SALSTEEL
1252,Salzer Electronics Limited,SALZERELEC
1253,Sambhaav Media Limited,SAMBHAAV
1254,Sanco Industries Limited,SANCO
1255,The Sandesh Limited,SANDESH
1256,Sandhar Technologies Limited,SANDHAR
1257,Sangam (India) Limited,SANGAMIND
1258,Sanghi Industries Limited,SANGHIIND
1259,Sanghvi Forging and Engineering Limited,SANGHVIFOR
1260,Sanghvi Movers Limited,SANGHVIMOV
1261,Sanginita Chemicals Limited,SANGINITA
1262,Sanofi India Limited,SANOFI
1263,Sanwaria Consumer Limited,SANWARIA
1264,Sarda Energy & Minerals Limited,SARDAEN
1265,Saregama India Limited,SAREGAMA
1266,Sarla Performance Fibers Limited,SARLAPOLY
